query,expectedCategory,gotCategory,expectedDenom,gotDenom,expectedDest,gotDest,resultCount,error,status,note
בית כנסת נוסח ספרד ליד הרצלהי,synagogue,synagogue,sfarad,sfarad,הרצליה,Lod,,,✅ OK?,לא נספר
פלאפל גלאט ברעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
רומא,destination,destination,,,רומא,Rome,,,✅ OK,destination
כנאפה מומלץ לארוחת בוקר,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
עכו,destination,destination,,,עכו,Akko,,,✅ OK,destination
זול,any,,,,,,,low_confidence,⚠ VAGUE,עמום
אירוח שבת באתונה,hosting,hosting,,,אתונה,,,destination_not_found,❌ NO_RESULT,destination_not_found
מסעד אמריקאי בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
להתארח בשבת במודיעין,hosting,hosting,,,מודיעין,Modiin,,,✅ OK,hosting
מניין מוסף ברחובו,minyan,minyan,,,רחובות,Rehovot,,,✅ OK,minyan
מסעדה צמחוני זול,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה כשרה ברומא,restaurant,restaurant,,,רומא,Rome,,,✅ OK?,לא נספר
מניין נץ נוסח אשכנז פה,minyan,minyan,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK,minyan
המבורגר גלאט בונציה,restaurant,restaurant,,,ונציה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אנטריקוט,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
גלידה מומלץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין שחרי אשכנזי ברמת השרון,minyan,minyan,ashkenaz,ashkenaz,רמת השרון,Ramat HaSharon,,,✅ OK,minyan
חביתה מומלץ קרוב אליי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה תאילנדי במונטריאול,restaurant,restaurant,,,מונטריאול,Montreal,,,✅ OK?,לא נספר
פנקייק מומל בבלגיה,restaurant,restaurant,,,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אנטריקוט בד״ץ ליד הבית,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
לזניה לא יקר,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעהד סיני יוקרתי מהדרין ליד ליון,restaurant,restaurant,,,ליון,Lod,,,✅ OK?,לא נספר
מסעדה כשרה בקזבלנקה,restaurant,restaurant,,,קזבלנקה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מקום לשבת בתניה,hosting,hosting,,,,Netanya,,,✅ OK,hosting
מסעדה תאילנדי ליד רומא,restaurant,restaurant,,,רומא,Rome,,,✅ OK?,לא נספר
בוריטו בראש העין,restaurant,restaurant,,,ראש העין,Rosh HaAyin,,,✅ OK?,לא נספר
מניין נץ שאמי בראש העין,minyan,minyan,teimanim,teimanim,ראש העין,Rosh HaAyin,,,✅ OK,minyan
מניין מנחה וערבית בנתניה,minyan,minyan,,,נתניה,Netanya,,,✅ OK,minyan
ראשון לציון,destination,minyan,,,ראשון לציון,Rishon LeZion,,,✅ OK,minyan
מסעדה סיני בד״ץ ליד טבריה רומנטי,restaurant,restaurant,,,טבריה,Tiberias,,,✅ OK?,לא נספר
איפה אפשר לאול מלאווח בבת ים,restaurant,restaurant,,,בת ים,Bat Yam,,,✅ OK?,לא נספר
מקום טוב,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת בלאדי בכפר סבא,synagogue,synagogue,teimanim,teimanim,כפר סבא,Kfar Saba,,,✅ OK?,לא נספר
מלבי בראשון לציון,restaurant,restaurant,,,ראשון לציון,Rishon LeZion,,,✅ OK?,לא נספר
פרגית רבנות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אסאדו זול בד״ץ במעלה אדומים,restaurant,restaurant,,,מעלה אדומים,Ma'ale Adumim,,,✅ OK?,לא נספר
מסעדה בשרי מהדרין בצרפת,restaurant,restaurant,,,צרפת,France,,,✅ OK?,לא נספר
מסעדה סיני ביוון,restaurant,restaurant,,,יוון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אשדוד,destination,destination,,,אשדוד,Ashdod,,,✅ OK,destination
מסעדה הודי זול בתל אביב,restaurant,restaurant,,,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
מסעדה סיני שווה מהדרין ליד נס ציונה,restaurant,restaurant,,,נס ציונה,Ness Ziona,,,✅ OK?,לא נספר
פיצה זול רבנות באמסטרדם,restaurant,restaurant,,,אמסטרדם,Amsterdam,,,✅ OK?,לא נספר
פלאפל בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מנחה בקפריסין,minyan,minyan,,,קפריסין,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה אמריקאי ליד מרקש,restaurant,restaurant,,,מרקש,Lod,,,✅ OK?,לא נספר
מסעדה צמחוני יוקרתי בדץ״ במילאנו,restaurant,restaurant,,,מילאנו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת נוסח ספרד ליד טורקיה,synagogue,synagogue,sfarad,sfarad,טורקיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה מרוקאי בגדרה,restaurant,restaurant,,,גדרה,Gedera,,,✅ OK?,לא נספר
מסעדה מרוקאי ליד פראג למשפחות,restaurant,restaurant,,,פראג,Prague,,,✅ OK?,לא נספר
ג׳חנון וממלץ בציריך פתוח עכשיו,restaurant,restaurant,,,ציריך,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
סטייק יוקרתי במקסיקו סיטי,restaurant,restaurant,,,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
פלאפל בד״ץ באור יהודה,restaurant,restaurant,,,אור יהודה,Or Yehuda,,,✅ OK?,לא נספר
מניין שחרית ספרדי בבית שמש,minyan,minyan,sfarad,sfarad,בית שמש,Beit Shemesh,,,✅ OK,minyan
בית כנסת נוסח אשכנז,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
מניין מנחה וערבית בליון,minyan,minyan,,,ליון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אירוח לשבת בראש העין,hosting,hosting,,,ראש העין,Rosh HaAyin,,,✅ OK,hosting
מסעדה בשרי זול מהדרין באשקלון,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
לינה לשבת פה,hosting,hosting,,,מעלה אדומים,Vienna,,,✅ OK,hosting
בית כנסת ליד אשקלון,synagogue,synagogue,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
בית כנסת ספרדי בלוד,synagogue,synagogue,sfarad,sfarad,לוד,Lod,,,✅ OK?,לא נספר
מסעדה אמריקאי ליד ארה״ב,restaurant,restaurant,,,ארה״ב,Lod,,,✅ OK?,לא נספר
מסעדה פרווה באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה ים תיכוני ברמת גן,restaurant,restaurant,,,רמת גן,Ramat Gan,,,✅ OK?,לא נספר
מניין ערבית בוינה,minyan,minyan,,,וינה,Vienna,,,✅ OK,minyan
דגים מומל בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מסוף אשכנזי בראשון לציון,minyan,minyan,ashkenaz,ashkenaz,ראשון לציון,Rishon LeZion,,,✅ OK,minyan
קרואסון כאן רומניט,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה אמריקאי ליד רחובות,restaurant,restaurant,,,רחובות,Rehovot,,,✅ OK?,לא נספר
בית כנסת נוסח תימן ליד בנגקוק,synagogue,synagogue,teimanim,teimanim,בנגקוק,Bangkok,,,✅ OK?,לא נספר
פריז,destination,destination,,,פריז,Paris,,,✅ OK,destination
מקום טוב לאכול בטורקיה,restaurant,restaurant,,,טורקיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מחפש מעורב ירושלמי טוב ברעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
קרית שמונה,destination,destination,,,קרית שמונה,Kiryat Shmona,,,✅ OK,destination
לוס אנג׳לס,destination,destination,,,לוס אנג׳לס,Los Angeles,,,✅ OK,destination
מניין מנחה,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
בתי כנסת,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין נץ בבואנוס איירס,minyan,minyan,,,בואנוס איירס,Buenos Aires,,,✅ OK,minyan
מסעדה איטלקי מומלץ במרוקו,restaurant,restaurant,,,מרוקו,Morocco,,,✅ OK?,לא נספר
בית כנסת נוסח אשכנז ליד באר שבע,synagogue,synagogue,ashkenaz,ashkenaz,באר שבע,Be'er Sheva,,,✅ OK?,לא נספר
בית כנסת חסידי בהולנד,synagogue,synagogue,chabad,chabad,הולנד,Netherlands,,,✅ OK?,לא נספר
מסעדה מקסיקני גלאט פה רומנטי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
גרמניה,destination,,,,גרמניה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת מרוקאי באזור,synagogue,synagogue,sfarad,sfarad,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת ליל שבת בפתח תקווה,hosting,hosting,,,פתח תקווה,Petah Tikva,,,✅ OK,hosting
מלאווח ברמלה עם ילדים,restaurant,restaurant,,,רמלה,Ramla,,,✅ OK?,לא נספר
מניין ערבית ספרדי ביבנה,minyan,minyan,sfarad,sfarad,יבנה,Yavne,,,✅ OK,minyan
מניין ערבית באשקלון,minyan,minyan,,,אשקלון,Ashkelon,,,✅ OK,minyan
מסעדה בשרי מומלץ ליד פתח תקווה,restaurant,restaurant,,,פתח תקווה,Petah Tikva,,,✅ OK?,לא נספר
חומוס במדל העמק,restaurant,restaurant,,,מגדל העמק,Migdal HaEmek,,,✅ OK?,לא נספר
מסעדה כשרה בדימונה,restaurant,restaurant,,,דימונה,Dimona,,,✅ OK?,לא נספר
אירוח לשבת בנס ציונה,hosting,hosting,,,נס ציונה,Ness Ziona,,,✅ OK,hosting
אירוח שבת בבודפשט,hosting,hosting,,,בודפשט,Budapest,,,✅ OK,hosting
מניין מנחה במונטריאול,minyan,minyan,,,מונטריאול,Montreal,,,✅ OK,minyan
מסעדה מרוקאי שווה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין נץ עדות המזרח בפתח תקווה,minyan,minyan,sfarad,sfarad,פתח תקווה,Petah Tikva,,,✅ OK,minyan
מניין ערבי בלאדי במודיעין,minyan,minyan,teimanim,teimanim,מודיעין,Modiin,,,✅ OK,minyan
וופל מומלץ בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה חלב בבואנוס איירס,restaurant,restaurant,,,בואנוס איירס,Buenos Aires,,,✅ OK?,לא נספר
מחפש מרק טוב בקרית גת,restaurant,restaurant,,,קרית גת,Kiryat Gat,,,✅ OK?,לא נספר
ליד הים,any,,,,,,,low_confidence,⚠ VAGUE,עמום
מסעדה מרוקאי שווה מהדרין בבנגקוק פתוח עכשיו,restaurant,restaurant,,,בנגקוק,Bangkok,,,✅ OK?,לא נספר
עוגה ליד פריז,restaurant,restaurant,,,פריז,Paris,,,✅ OK?,לא נספר
פתוח עכשיו,any,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
בית נכסת ליד יקנעם,synagogue,synagogue,,,יקנעם,Yokneam,,,✅ OK?,לא נספר
מניין נץ כאן,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
סטייק בד״ץ באילת עם ילדים,restaurant,restaurant,,,אילת,Eilat,,,✅ OK?,לא נספר
מניין מנחה וערבית אשכנזי בגרמניה,minyan,minyan,ashkenaz,ashkenaz,גרמניה,Germany,,,✅ OK,minyan
ונציה,destination,,,,ונציה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מוסף,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
מסעדה טבעוני לא יקר מהדרין בברצלונה,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
בית כנסת בקזבלנקה,synagogue,synagogue,,,קזבלנקה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
איפה יש אוכל כשר בבודפשט,restaurant,restaurant,,,בודפשט,Budapest,,,✅ OK?,לא נספר
בית כנסת נוסח אשכנז בטורקיה,synagogue,synagogue,ashkenaz,ashkenaz,טורקיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה איטלקי באזור,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בורקס בראשון לציון עם משלוחים,restaurant,restaurant,,,ראשון לציון,Rishon LeZion,,,✅ OK?,לא נספר
מסעדה סיני מהדרין באזור עם ילדים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
להתאר בשבת כאן,hosting,hosting,,,,Tel Aviv,,,✅ OK,hosting
חומוס בד״,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה טבעוני במקסיקו סיטי,restaurant,restaurant,,,מקסיקו סיטי,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אירוח לשבת באילת,hosting,hosting,,,אילת,Eilat,,,✅ OK,hosting
סעודה שלישית כאן,hosting,hosting,,,שדרות,Tel Aviv,,,✅ OK,hosting
איפה אפשר לאכול פרגית בטוקיו,restaurant,restaurant,,,טוקיו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מנחה מרוקאי בגבעתיים,minyan,minyan,sfarad,sfarad,גבעתיים,Givatayim,,,✅ OK,minyan
דגים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה פרווה גלאט בבלגיה,restaurant,restaurant,,,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה סיני לא יקר לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין שחרית באנטוורפן,minyan,minyan,,,אנטוורפן,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מחפש פוקה טוב בבודפשט,restaurant,restaurant,,,בודפשט,Budapest,,,✅ OK?,לא נספר
בית כנסת ליד אמסטרדם,synagogue,synagogue,,,אמסטרדם,Amsterdam,,,✅ OK?,לא נספר
מעורב ירושלמי לא יקר ליד הולנד,restaurant,restaurant,,,הולנד,Netherlands,,,✅ OK?,לא נספר
מסעדה תימני גלאט פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בשרי,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה איטלקי קרוב אליי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בורקס בלוד פתוח עכשיו,restaurant,restaurant,,,לוד,Lod,,,✅ OK?,לא נספר
בתי כנסת שאמי,synagogue,synagogue,teimanim,teimanim,,Tel Aviv,,,✅ OK?,לא נספר
בייגל בפורטוגל,restaurant,restaurant,,,פורטוגל,Portugal,,,✅ OK?,לא נספר
כנאפה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת אשכנזי ליד גן יבנה,synagogue,synagogue,ashkenaz,ashkenaz,גן יבנה,Gan Yavne,,,✅ OK?,לא נספר
מניין נץ בבית שמש,minyan,minyan,,,בית שמש,Beit Shemesh,,,✅ OK,minyan
בית כנסת בארה״ב,synagogue,synagogue,,,ארה״ב,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין ערבית במילאנו,minyan,minyan,,,מילאנו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין ערבית ליד הבית,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
בית כנסת אשכנזי,synagogue,synagogue,ashkenaz,ashkenaz,,Tel Aviv,,,✅ OK?,לא נספר
איפה אפשר לאכול קובה בכפר סבא,restaurant,restaurant,,,כפר סבא,Kfar Saba,,,✅ OK?,לא נספר
מסעדה אסייתי מומלץ מהדרין,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
קנדה,destination,,,,קנדה,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנסת פה,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה סיני,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה כשרה ברחובות,restaurant,restaurant,,,רחובות,Rehovot,,,✅ OK?,לא נספר
טאקו פה,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אירוח שבת בקרית גת,hosting,hosting,,,קרית גת,Kiryat Gat,,,✅ OK,hosting
מניין מוסף כאן,minyan,minyan,,,,Tel Aviv,,,✅ OK,minyan
פיצה ליד בית שמש פתוח עכשיו,restaurant,restaurant,,,בית שמש,Beit Shemesh,,,✅ OK?,לא נספר
שוקול פה,restaurant,,,,,,,low_confidence,❌ NO_RESULT,low_confidence
קרואסון בד״ץ באשדוד,restaurant,restaurant,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
מסעדה בשרי הכי טוב בד״ץ ליד הבית,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
קינוח גלאט פתוח עכשיו,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
ארוחת שבת בברלין,hosting,hosting,,,ברלין,Berlin,,,✅ OK,hosting
מסעדה טבעוני יוקרתי רומנט,restaurant,restaurant,,,,,,destination_not_found,❌ NO_RESULT,destination_not_found
אסאדו בד״ץ בליון,restaurant,restaurant,,,ליון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין מוס בבלגיה,minyan,minyan,,,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מונטריאול,destination,destination,,,מונטריאול,Montreal,,,✅ OK,destination
שניצל שווה מהדרין במילאנו עם ילדים,restaurant,restaurant,,,מילאנו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
בית כנס בבלגיה,synagogue,synagogue,,,בלגיה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה טבעוני בד״ץ בספרד,restaurant,restaurant,,,ספרד,Spain,,,✅ OK?,לא נספר
מסעדה,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
קינוח יוקרתי ליד לונדון,restaurant,restaurant,,,לונדון,London,,,✅ OK?,לא נספר
מסעדה חלבי מהדרין בג׳רבה,restaurant,restaurant,,,ג׳רבה,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
אירוח שבת באיטליה,hosting,hosting,,,איטליה,Italy,,,✅ OK,hosting
איפה יש אוכל כשר בבאר שבע,restaurant,restaurant,,,באר שבע,Be'er Sheva,,,✅ OK?,לא נספר
מסעדה איטקלי יוקרתי גלאט בקרית שמונה רומנטי,restaurant,restaurant,,,קרית שמונה,Kiryat Shmona,,,✅ OK?,לא נספר
מניין ערבית בנתניה,minyan,minyan,,,נתניה,Netanya,,,✅ OK,minyan
בורקס מומלץ רבנות ליד ברצלונה לארוחת בוקר,restaurant,restaurant,,,ברצלונה,Barcelona,,,✅ OK?,לא נספר
בית כנסת נוסח ספרד ליד אמסטרדם,synagogue,synagogue,sfarad,sfarad,אמסטרדם,Amsterdam,,,✅ OK?,לא נספר
מקום טוב לאכול בחיפה,restaurant,restaurant,,,חיפה,Haifa,,,✅ OK?,לא נספר
יאפה יש אוכל כשר במיאמי,restaurant,restaurant,,,מיאמי,Miami,,,✅ OK?,לא נספר
ארוחת שבת בברזיל,hosting,hosting,,,,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
סעודה שלישית בראש העי,hosting,hosting,,,,Rosh HaAyin,,,✅ OK,hosting
מסעדה סיני במילאנו,restaurant,restaurant,,,מילאנו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מלאווח ליד תל אביב,restaurant,restaurant,,,תל אביב,Tel Aviv,,,✅ OK?,לא נספר
אנטריקוט באשקלון,restaurant,restaurant,,,אשקלון,Ashkelon,,,✅ OK?,לא נספר
מסעדה בשרי בחולון,restaurant,restaurant,,,חולון,Holon,,,✅ OK?,לא נספר
מסעדה אמריקאי בנתניה עם ילדים,restaurant,restaurant,,,נתניה,Netanya,,,✅ OK?,לא נספר
מסעד צמחוני,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
שניצל רבנות בקנדה עם ילדים,restaurant,restaurant,,,קנדה,Canada,,,✅ OK?,לא נספר
אסאדו גלאט,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בת ים,destination,restaurant,,,בת ים,Bat Yam,,,✅ OK,restaurant
נתניה,destination,destination,,,נתניה,Netanya,,,✅ OK,destination
מניין נץ בגן יבנה,minyan,minyan,,,גן יבנה,Gan Yavne,,,✅ OK,minyan
בייגל רבנות בכפר סבא,restaurant,restaurant,,,כפר סבא,Kfar Saba,,,✅ OK?,לא נספר
איפה יש אוכל כשר באנטוורפן,restaurant,restaurant,,,אנטוורפן,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
ליון,destination,,,,ליון,,,low_confidence,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מניין נץ במרקש,minyan,minyan,,,מרקש,Marrakech,,,✅ OK,minyan
מסעדה הודי ליד וינה,restaurant,restaurant,,,וינה,Vienna,,,✅ OK?,לא נספר
מניין ערבית חב״ד,minyan,minyan,chabad,chabad,,Tel Aviv,,,✅ OK,minyan
מסעדה טורקי הכי טוב באזור פתוח עכשיו,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
פוקה ביוון,restaurant,restaurant,,,יוון,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה יפני לידי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אירוח שבת במונטריאול,hosting,hosting,,,מונטריאול,Montreal,,,✅ OK,hosting
מסעדה כשר בבאר שבע,restaurant,restaurant,,,באר שבע,Be'er Sheva,,,✅ OK?,לא נספר
מקום לשבת פה,hosting,hosting,,,ליון,Tel Aviv,,,✅ OK,hosting
אירוח לשבת פה,hosting,hosting,,,,Tel Aviv,,,✅ OK,hosting
בית כנסת ליד הבית,synagogue,synagogue,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת חב״ד במדריד,synagogue,synagogue,chabad,chabad,מדריד,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מעורב ירושלמי ליד הבית,restaurant,restaurant,,,,Jerusalem,,,✅ OK?,לא נספר
בתי כנסת ברומא,synagogue,synagogue,,,רומא,Rome,,,✅ OK?,לא נספר
מסעדה בשרי לא יקר,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
וופל ליד פריז לארוחת בוקר,restaurant,restaurant,,,פריז,Paris,,,✅ OK?,לא נספר
מסעדה איטלקי בצפת,restaurant,restaurant,,,צפת,Tzfat,,,✅ OK?,לא נספר
מניין ערבי ליטאי בציריך,minyan,minyan,ashkenaz,ashkenaz,ציריך,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה תימני כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה חלבי יוקרתי מהדרין בארה״ב לארוחת ערב,restaurant,restaurant,,,ארה״ב,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מנין שחרית ביבנה,minyan,minyan,,,יבנה,Yavne,,,✅ OK,minyan
פרגית זול בגבעתיים ליד הים,restaurant,restaurant,,,גבעתיים,Givatayim,,,✅ OK?,לא נספר
מחפש פיצה טוב בוינה,restaurant,restaurant,,,וינה,Vienna,,,✅ OK?,לא נספר
מסעדה אמריקאי זול,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת חב״ד ליד נס ציונה,synagogue,synagogue,chabad,chabad,נס ציונה,Ness Ziona,,,✅ OK?,לא נספר
פרגית לדי ראש העין,restaurant,restaurant,,,ראש העין,Rosh HaAyin,,,✅ OK?,לא נספר
מקום לשבת כאן,hosting,hosting,,,מרוקו,Tel Aviv,,,✅ OK,hosting
לינה לשבת כאן,hosting,hosting,,,,Vienna,,,✅ OK,hosting
מחפש לזניה טוב ברומא,restaurant,restaurant,,,רומא,Rome,,,✅ OK?,לא נספר
מסעדה מרוקאי בד״ץ ליד רמת השרון לארוחת בוקר,restaurant,restaurant,,,רמת השרון,Ramat HaSharon,,,✅ OK?,לא נספר
אירוח שבת בצפת,hosting,hosting,,,צפת,Tzfat,,,✅ OK,hosting
מסעד בשרי בד״ץ למשפחות,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מסעדה צמחוני בפראג,restaurant,restaurant,,,פראג,Prague,,,✅ OK?,לא נספר
מסעדה אסייתי בחולון פתוח עכשיו,restaurant,restaurant,,,חולון,Holon,,,✅ OK?,לא נספר
מניין שחרית בהודו,minyan,minyan,,,הודו,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעד אסייתי מומלץ גלאט רומנטי,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת ספרדי בנהריה,synagogue,synagogue,sfarad,sfarad,נהריה,Nahariya,,,✅ OK?,לא נספר
מסעדה חלבי בקפריסין,restaurant,restaurant,,,קפריסין,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
שניצל זול ליד נהריה,restaurant,restaurant,,,נהריה,Nahariya,,,✅ OK?,לא נספר
לינה לשבת בקרית גת,hosting,hosting,,,קרית גת,Kiryat Gat,,,✅ OK,hosting
איפה יש אוכל כשר ברעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
בית כנסת ליטאי בלוד,synagogue,synagogue,ashkenaz,ashkenaz,לוד,Lod,,,✅ OK?,לא נספר
ארוחת ליל שבת באמסטרדם,hosting,hosting,,,,Amsterdam,,,✅ OK,hosting
מלבי שווה באשדוד פתוח עכשיו,restaurant,restaurant,,,אשדוד,Ashdod,,,✅ OK?,לא נספר
מסעדה פרווה רבנות כאן,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
בית כנסת בארגנטינה,synagogue,synagogue,,,ארגנטינה,Argentina,,,✅ OK?,לא נספר
מסעדה תימני רבנות ברעננה,restaurant,restaurant,,,רעננה,Ra'anana,,,✅ OK?,לא נספר
בתי כנסת נוסח אשכנז בטבריה,synagogue,synagogue,ashkenaz,ashkenaz,טבריה,Tiberias,,,✅ OK?,לא נספר
מהדרין,any,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
אנטריקוט מומלץ בדימונה,restaurant,restaurant,,,דימונה,Dimona,,,✅ OK?,לא נספר
אשקלון,destination,destination,,,אשקלון,Ashkelon,,,✅ OK,destination
בייגל בד״ץ,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
מניין מנחה בברזיל,minyan,minyan,,,ברזיל,,,destination_not_found,⚠ ABROAD_NONE,חו״ל—ייתכן שאין
מסעדה איטלקי בצפת ליד הים,restaurant,restaurant,,,צפת,Tzfat,,,✅ OK?,לא נספר
פנקייק עם משלוחים,restaurant,restaurant,,,,Tel Aviv,,,✅ OK?,לא נספר
