id,name_type,verdict,confidence,our_name,google_name,our_address,google_address,distance_m,reason
1895,unique,yes,0.85,"""מאפית בית הלחם""",בית הלחם והמאפה,"קריית גת, Israel","Derekh ha-Darom 13, Kiryat Gat, Israel",436,Both names refer to 'Beit Lechem' (Bethlehem) bakery with slightly different Hebrew phrasings ('מאפית בית הלחם' vs 'בית הלחם והמאפה'). Same city (Kiryat Gat). 436m distance is notable but could reflect database coordinate inaccuracy. Unique name type and matching business concept (bakery) support match despite distance.
3490,unique,no,0.95,Cofizz,"בתי קפה בביאליק, רמת גן","ביאליק 77, רמת גן, Israel","Bialik St 19, Ramat Gan, Israel",633,"Different house numbers on same street (77 vs 19) with 633m distance. 'Cofizz' is a specific business name while Google result is generic ('coffee houses on Bialik'). Despite same street/city, the significant address difference rules out a match."
1792,unique,yes,0.95,פיצה כמעט חינם,פיצה כמעט חינם,"שד' הנשיא 20, דימונה, Israel","Sderot HaNassi 20, Dimona, Israel",883,"Identical business name (unique), same street (Sderot HaNassi/שד' הנשיא), same house number (20), same city (Dimona). Distance discrepancy (883m) likely due to coordinate precision errors in one database, but street address match is clear."
2313,chain,no,0.95,שיפודי האגם,Simha And Sons Grill,"הירקון 1, טבריה, Israel","Al Hadif St, Tiberias, 1424308, Israel",784,"Different street names (Hayarkon vs Al Hadif), 784m apart, and different business names with no translation relationship. 'Simha And Sons Grill' does not translate to 'Shipudei HaAgam' (Lake Skewers). No clear match despite both in Tiberias."
1714,unique,no,0.85,קפה גן סיפור,Story Garden Cafe,"שד' משה דיין 4, אשדוד, Israel","Mafkura St 1, Ashdod, Israel",41,"Different streets (Moshe Dayan vs Mafkura) and different house numbers (4 vs 1). While both are cafes in Ashdod with similar names (Story Garden Cafe = קפה גן סיפור), the street addresses don't match, suggesting different locations despite proximity."
4830,unique,no,0.95,קפה הרובע,קופיז Cofizz,"תפארת ישראל 11, הרובע היהודי, ירושלים, Israel","Ha-Meshorerim St 1, Jerusalem",23,"Different business names (קפה הרובע vs קופיז Cofizz) and different streets (תפארת ישראל vs Ha-Meshorerim). While both are in Jerusalem's Jewish Quarter area, the street names do not match, indicating separate businesses."
1549,unique,no,0.85,שווארמה האחים,פלאפל ושווארמה הירוק השלום 48,"דרך השלום 48, באר שבע, Israel","Derech HaShalom 48, Beersheba, Israel",1529,"Distance of 1529 meters is too large for same physical location despite matching street address 48. Names differ significantly (Shwarma HaAchim vs Falafel VeShwarma HaYarok HaShalom), suggesting different businesses at different points on Derech HaShalom."
2263,unique,yes,0.95,מאפיית המפגש,HaMifgash Bakery,"שד' ההסתדרות 82, חיפה, Israel","HaHistadrut Ave 82, Haifa, Israel",4853,"Name matches (Hebrew 'מאפיית המפגש' = English 'HaMifgash Bakery'); street and house number identical (Histadrut Ave 82, Haifa); distance likely due to coordinate inaccuracy in our database, not an address mismatch"
4538,unique,yes,0.95,סקאי,Sekai סקאי,"הברזל 10, רמת החייל, תל אביב, Israel","HaBarzel St 10, Tel Aviv-Yafo, 6971014, Israel",406,"Identical street address (HaBarzel 10, Tel Aviv), matching business name (Sekai סקאי), same postal area. Distance of 406m is likely due to coordinate approximation in our database. Unique name type confirms this is a specific business, not a chain."
2225,generic,no,0.95,גריל בר 8,הבן של סימו מסעדת בשרים,"ככר צה""ל 20, קריית שמונה, Israel","ת.ד 8716, Tel Hai 108, Kiryat Shmona, Israel",150,Different business names with no translation/transliteration relationship. 'גריל בר 8' (Grill Bar 8) vs 'הבן של סימו מסעדת בשרים' (Simo's Son Steakhouse) are distinct establishments. Different street addresses (Kikar Tzahal vs Tel Hai) also support this.
1609,unique,no,0.85,לבריאות,Sderot Lachish 1,"שד' לכיש 1, קריית גת, Israel","Sderot Lachish 1, Kiryat Gat, Israel",619,"Google result is just a street address with no business name, not a business listing. 'Sderot Lachish 1' appears to be a location/address only, not an actual restaurant or business name."
4550,chain,no,0.85,שיפודי ציפורה,שיפודי ציפורה,"שחם 17, יכין סנטר פתח תקווה, Israel","Leshem St 10, Petah Tikva, Israel",459,"Different streets and house numbers (Leshem St 10 vs Sham St 17), plus significant distance of 459m. While names match exactly, this appears to be either different branches of a chain or an error in one database's address."
7221,unique,yes,0.92,B-FRESH - בילינסון,"B-FRESH בלינסון פ""ת","זבוטינסקי 39, פתח תקווה","זאב, רחוב זאב ז'בוטינסקי 39, פתח תקווה, Israel",2133,"Name matches (B-FRESH בילינסון/בלינסון - transliteration variant). Street and house number match exactly (זבוטינסקי 39). City matches (פתח תקווה). Large distance (2133m) is anomalous but likely due to coordinate error in our database, not a reason to reject when street+number+city+name all align clearly."
6650,unique,no,0.85,אישטבח ירושלים,Ishtabach,"השקמה 1 מחנה יהודה, ירושלים","השקמה פינת, Beit Ya'akov St 1, Jerusalem, Israel",1899,"Same business name (Ishtabach) but conflicting addresses: Our listing shows 'השקמה 1 מחנה יהודה' (Hashkama 1, Machane Yehuda), while Google shows 'Beit Ya'akov St 1' (Beit Ya'akov). These are 1.9km apart - different neighborhoods. The address discrepancies are too significant despite the name match and 'unique' type designation."
4864,chain,no,0.85,וופל בר,וופל בר קניון רמות ירושלים,"גולדה מאיר 255, רמות אלון, ירושלים, Israel","Sderot Golda Me'ir, Jerusalem, Israel",2231,"Chain/brand with multiple locations. While both are 'וופל בר' (Waffle Bar) in Jerusalem on Golda Meir street, the 2.2km distance is too large for the same physical location. Google's mention of 'קניון רמות' (Ramot Mall) suggests a different branch than our listed address."
2126,unique,yes,0.95,59 בשדרה,Sderot Ben Gurion 59,"שד' בן גוריון 59, המושבה הגרמנית, חיפה, Israel","Sderot Ben Gurion 59, Haifa, Israel",16,Identical street address (Sderot/Sderot Ben Gurion 59) and city (Haifa). Minor distance discrepancy (16m) is within acceptable range for coordinate inaccuracy. Hebrew name '59 בשדרה' translates to the street address. Unique business name type supports match.
5699,unique,no,0.95,BP בי פי נתניה,BP,"נתניה, Israel","תחנת דלק פז כביש החוף, Netanya, Israel",1266,"Different gas station brands: BP vs. PAZ (Paz gas station). Google listing explicitly shows 'תחנת דלק פז' (Paz fuel station), not BP. Despite proximity in same city, they are distinct competitors."
3338,unique,yes,0.95,"ד""ר פיצה",Dr Pizza,"מורדי הגטאות 42, שיכון המזרח, ראשון לציון, Israel","Mordei ha-Geta'ot St 42, Rishon LeZion, Israel",448,"Hebrew name 'ד""ר פיצה' translates to 'Dr Pizza'. Street names match exactly (Mordei ha-Geta'ot = מורדי הגטאות), house number 42 is identical, city matches (Rishon LeZion = ראשון לציון). The 448m distance discrepancy is likely due to coordinate accuracy issues in one database, not indicative of different locations given the perfect street/number alignment."
3514,unique,no,0.95,מפגש גיא,שפעלאפל,"שד' מרדכי בן פורת 88, אור יהודה, Israel","Sderot Mordehai Ben Porat 88, Or Yehuda, Israel",914,"Different business names (מפגש גיא vs שפעלאפל) with no translation/transliteration relationship. Same street and house number, but names are completely distinct businesses. The 914m distance suggests these may be different locations despite matching address, or one address is significantly incorrect."
5230,unique,no,0.95,פאפאס פיצה פלאפל,פאפא דה פיצה ירושלים Papa de pizza,"תפארת ישראל 2, הרובע היהודי, ירושלים, Israel","The Armenian Patriarchate St 73, Jerusalem",343,"Different business names (פאפאס vs פאפא דה), different streets (תפארת ישראל vs Armenian Patriarchate St), and 343m distance. While both are pizza places in Jerusalem's Old City area, the name and address differences are substantial enough to indicate separate businesses."
3032,unique,yes,0.95,פותח את ידך קייטרינג,פותח את ידך קייטרינג,"דרך העמק 2, יקנעם, Israel","Derech HaEmek 2, Yokne'am, Israel",2275,"Identical business name (Hebrew), matching street (Derech HaEmek/דרך העמק) and house number (2), same city (Yokne'am/יקנעם). Distance of 2275m is likely due to coordinate precision issues in one database, not indicative of different locations. Unique name type supports match."
6919,unique,yes,0.95,ג'פניקה הרצליה,ג׳פניקה הרצליה כשר | JAPANIKA HERZELIYA KOSHER,"הסדנאות 10, הרצליה","Ha-Sadna'ot St 10, Herzliya, Israel",3551,"Same restaurant name (Japanika Herzeliya), identical street (Ha-Sdanot/הסדנאות) and house number (10), same city (Herzeliya). Large distance discrepancy likely due to GPS error in one database. Name type 'unique' supports this is the same business."
